sentence,target_bigram,difficulty
worth teeth the death that bath earth south cloth,th,0
moth math month they froth them birth depth truth,th,0
path sixth both with oath myth this width filth then,th,0
south with teeth oath depth death worth birth,th,0
truth worth earth cloth south broth moth death,th,0
width depth death south math the sixth them they,th,0
sixth birth earth the oath that this they with both,th,0
south sixth death depth filth bath that worth this them,th,0
bath tenth math worth froth truth earth then,th,0
path bath with filth tenth truth them myth oath,th,0
truth lithic faith author ethnic the they myth growth path,th,1
thread threat north within thrill health method oath,th,1
teeth length froth those birth depth tenth other three filth,th,1
that month thresh breath cloth width worth this youth,th,1
throne math both earth throng thatch their bath there,th,1
death fifth with smooth thrash gothic wealth forth,th,1
they sixth death north truth fifth this south,th,1
math oath threat teeth path birth thrash health author those,th,1
moth growth their the wealth there froth those,th,1
thrash with youth south other author birth this depth their,th,1
thermal youth bath with faith through those that,th,2
three method month either beneath throne thyroid esthetic birth path,th,2
moth they breath ethnic empathy their wealth thermos death this,th,2
lengthy cloth athlete thunder oath pathetic math these berth forth,th,2
thresh depth another theory other length south thatch,th,2
together width brotherly myth threat tenth within thyself,th,2
healthy theorem north southern throttle smooth thicket both apathy whether,th,2
thrill broth lithic health them rather growth teeth,th,2
earth truth ather author gothic therapy there froth the sixth,th,2
thrash further fifth throng thread filth then worth,th,2
mathematics fifth three throne thunder oath there therapy,th,3
math through froth ather thermal pathetic pathological length hypothesis,th,3
growth earth enthusiastic methodical another thresh earthbound health threat the,th,3
worth sixth teeth authentic north beneath brotherly these lengthy,th,3
method empathy throttle worthwhile youth either myth labyrinthine,th,3
whether altogether thermodynamic southern berth breakthrough cloth esthetic theory,th,3
cathedral faith thread lithic they thicket then width that healthy,th,3
threshold within filth ethnography thrash ethnic thyself gothic,th,3
truth further throng birthplace bath thoroughbred month thatch,th,3
together death broth tenth brethren other thrill northeastern path rather,th,3
thatch these smooth teeth wealth enthronement rather month atheistically earthenware,th,4
arithmetic altogether overthought thresh smoothness breathtakingly theorem forth esthetician,th,4
ethnography this either them math within ethnographical froth lithic there,th,4
thermodynamic authentic sympathetic therapeutic oath truthfulness gothic threshold author,th,4
further threat synthesis apathy the deathwatch arithmetically beneath birthdate birthplace,th,4
hypothesis through depth brethren breath moth their north pathetic theory,th,4
both mathematical pathological lengthy methodological thyroid labyrinthine another thyself,th,4
health earth throttle thermos southern esthetic healthy method thermite,th,4
therapy with worthwhile empathetically other tenth myth methodical athlete,th,4
growth worth length thunder worthlessness cloth berth thicket,th,4
thee ahey hex she heap helm hero hers hem,he,0
ahead whey her shea chef the hen thew,he,0
shed when rhea held hew phew head heat hear here,he,0
thew whey hem her hex she shed shea hers,he,0
help she phew ahey her hero heal hers when,he,0
help the here shea heal hear hew helm rhea,he,0
hero heat she chef help her hem ahey held hex,he,0
thee ahey shed heal hers when hem heap hero whey,he,0
rhea ahead then whey hew help ahey thee heap she,he,0
the heal hem head here heap chef hex heat hear,he,0
shepherd held hear helm then hen where heat,he,1
hew another sheen whether other the whey hero thew ahey,he,1
shed hem these ahead when shear theme here,he,1
sheer heal rhea shell sheath shea wheel her,he,1
cheap cheer chef help together thee she sheep there,he,1
smother shelf head sheet cheep phew hex hers,he,1
sheath theme hew sheer help heal shea where,he,1
shelf thew heap sheet here sheep the heal,he,1
other the shell hear where cheer she when these,he,1
whether hero shed there hen helm ahead phew help here,he,1
atheist helm she hew hen sheen where shepherd cheap,he,2
heat hers cathedral shelf her held head elsewhere,he,2
heap hero teethe help thew smother whey other athers soothe,he,2
freshen wherever clothe seethe sheath sheep ahead nowhere breathe,he,2
shed there shell when phew here cheetah writhe the,he,2
inherent theme cheer esthetic sphere somewhere hem shear whether cheep,he,2
sheathe scathe shelter loathe another theory then hex,he,2
tithe wheel rhea ahey whenever lithe hear sheer,he,2
together coherent shea these chef heal sheet thee,he,2
the breathe wheel hex athers sheep theory hew,he,2
tithe nonetheless superhero soothe the clothe theme altogether shepherd cheer,he,3
sheep cheetah thee sphere ahead lithe cheep hem therapist athersclerosis,he,3
gathered somewhere atheist hemisphere there whether heal sheet whey other,he,3
elsewhere nowhere inherent thew another chemistry athers these shell seethe,he,3
thermometer hers sheltering whenever helm hero theory hex,he,3
writhe sheathe hen leatherneck weathering sheer here smother heat her,he,3
when loathe hew shed where overwhelmed coherent cathedral scathe,he,3
chef phew breathe shear hear held cheap theologian help,he,3
ahey rhea esthetician featherweight wheel theoretical then head phenomemon otherwhere,he,3
wherever freshen sheath she esthetic sheen shea shelter heap,he,3
hemisphere overwhelmed heat nonetheless theory hers where her,he,4
nowhere featherweight cohesiveness there esthetic breathe help hero,he,4
chemistry somewhere freshen theme atheist comprehensively whether ahead clothe,he,4
atmospherically cheer cheap another whey weathering sheen hex smother everywhere,he,4
whenever athersclerosis sphere coherent therapeutic shell sheathe writhe,he,4
thermometer shelter atmospheric aesthetically theologically heathens heal sheer wheel,he,4
other thee hen she shepherd theologian gathered helm,he,4
seethe therapist the inherent elsewhere scathe superhero phew themselves,he,4
weatherstone hemispherical thew hear phenomenally soothe leatheriness sympathetically,he,4
these athers tithe cheep sheet leatherneck shear otherwhere,he,4
fin in ring sing pin kind mine sin,in,0
inn bin fine win thin into ink bind line vine,in,0
nine tin wing dine king pine wind kin,in,0
king vine thin nine sin fine kin wing,in,0
mind dine sin fine thin pin ink line,in,0
mind fine dine bind wine wind vine fin,in,0
sin wine find bin win tin line sing dine into,in,0
fine tin wing king wind mine sing fin bind,in,0
kin mine bin mind find sing wine kind,in,0
vine dine line pine sing thin fin king,in,0
inside king during tin invite bin behind ink taking insect,in,1
vine inner inn infer wind infect kind infuse,in,1
inept sin coming inked fine find saying win,in,1
nine making giving in indie line insist having,in,1
living dine invest into being wine kin mine,in,1
fin mind incur index doing wing pine insert,in,1
invent pin input thin inform bind sing ring,in,1
vine inn ring into in pine line giving find input,in,1
infuse wing wine kin during fine dine vine,in,1
indie saying inked wine being invest find nine infuse mind,in,1
incite being insane ring integer insect incline pin wind,in,2
line involve doing induce find ink indigo invite inquest,in,2
include instinct infer insight indie inquiry inn tin taking,in,2
binding intact fin dine kind wine minding winding inspire,in,2
mine insult invoke invent vine fine wing insist saying,in,2
kin sin indeed bind making finding intent nine inform,in,2
bin sing incur inked in during inner behind input infect,in,2
kingdom install thin mind index increase giving win,in,2
having king living going into infuse invest inside insert pine,in,2
winding invite incite insane infuse thin pine insult dine,in,2
wind indigo invoke input during ingredient instigate behind ring,in,3
bin having intent insured insist invent line inheritance,in,3
inked inspire kingdom information inconsistent incredible insult insert,in,3
incur instinct intervention kin insight internally inner institute,in,3
initiative being pin saying increase bind minding independent into,in,3
introduction investigate making fine intact install incline infect invest,in,3
influential infer sin indie international involving winding inform,in,3
king wine involve kind find taking inquest in ink,in,3
thin integer incite inception binding institution introduce inquiry,in,3
sing intuitively doing indeed instead invisible going finding win interesting,in,3
intervention kingdom king infer institute involve initiative living introductorily,in,4
instructionally coming indeed wing instigate increase incite vine doing,in,4
wine kin inept invest intuitively wind indistinguishably ink,in,4
sing bin find winding insightfully kind inheritance incur,in,4
distinguishably indigo line instantaneously intellectually institutionally during invoke inquest,in,4
index unintentionally into in interpretively being insignificantly win inextricably thin,in,4
giving invent influential minding pine interpretation integrate inception insect,in,4
intent insult saying innovatively interesting instinct institutionalize ingredient invite nine,in,4
introduce having include insert inspirationally ring incline uninvited,in,4
investigate informationally fine inspire install dine involving invulnerably inform,in,4
serb berm deer beer jerk herd fern perm,er,0
ever over her serf germ berg ewer nerd,er,0
perk seer aper verb user veer term peer,er,0
serb over nerd germ her user peer verb perk,er,0
term herd peer user ever ewer nerd over her,er,0
jerk fern veer berg germ verb perk aper herd,er,0
perk veer fern peer over serb aper perm beer,er,0
verb peer serf user perm term jerk nerd serb,er,0
berg fern nerd herd aper berm perm verb over,er,0
fern perk jerk aper verb over serf berm her seer,er,0
terse nerve user tiger otter term jerk serf after,er,1
peer verb perch nerd power error merge serve,er,1
biker lever her ember berg veer aper water,er,1
every ewer erect order fern serb verse under tower,er,1
berth berm herd erupt germ river enter over perk,er,1
beer perm order peer every serf perch tower,er,1
herd lever terse berth every perm over serve water,er,1
tower nerve fern aper over serve herd veer,er,1
nerd biker ewer germ tower peer merge over term deer,er,1
merge serf power error ember ewer every fern,er,1
berth aper cinder otter after peer cherry perk water ewer,er,2
order chamber river chapter verb ferry shelter tiger,er,2
blunder silver server her nerve jerk verse nerd,er,2
seer ember serve perm erect serf general roster lever,er,2
kernel filter berg other under erry terrain fern counter,er,2
germ perfect terse eternal erupt term power serb sherry enter,er,2
cluster tinder biker berry render person merge herd deer,er,2
banter user beer error berm ferment perish perch ever deliver,er,2
tinder order verb enter otter ember under cluster,er,2
under perk enter beer cherry never berth merge peer other,er,2
blunder underwater otter cherry tinder person user berm after chamber,er,3
perimeter sherry germ interfere seer serb peer enter,er,3
aper lever nerve never serf altogether verse permit,er,3
kernel roster deliver berth perfect overlander terse border,er,3
every server reservoir erupt overserve shelter jerk tiger other,er,3
erect under overthrew nerd whichever water tower merge overheard parameter,er,3
filter thereafter chapter fern her term interpreter herd order deer,er,3
cluster overseer biker power surrender ferry ever however ferment eternal,er,3
perk perm over aterbury river carpenter erry beer banter ember,er,3
verb perish counter perch persevere generator cinder error ewer,er,3
generator filter terrain overstepping berg alternatively deer border northwestern,er,4
cluster perm user permit cherry shelter cinder thermometer kernel her,er,4
erry never verb overwrought over jerk otter beer,er,4
ewer nerd surrender ferment overserve after general aterbury everywhere overcorrecting,er,4
overarching serf serve overthrew person banter deliver however veer reinterpreted,er,4
interpreter oversimplify superintendent oversharing chapter berth ember other perch render,er,4
seer persevere blunder tower whichever parameter superhero ferry overhearing whatsoever,er,4
herd overpowering term nerve perk under sherry eternal volunteer reservoir,er,4
impersonator lever silver biker counter perish merge power overpower erupt,er,4
water overheard chamber every perfect river underwater characterize carpenter berry,er,4
an plan clan gran tan sank tank scan sand,an,0
bank pan span van ran land rank gang can,an,0
fan hang man rang hand sang dank than and ban,an,0
ran sand and bank dank fan rang ban,an,0
tank man rank bank band ban sand scan,an,0
gran fan an plan sang sank rank than,an,0
sank rank hand hang sang band than rang an,an,0
gran sand clan plan tan man rank dank,an,0
fan land tank bank gang plan ban sank,an,0
sand fan dank rank an hang man bank sang,an,0
plant sand dank candy bland fan france chance,an,1
band can dandy and lance tank handy prance dance brand,an,1
land tan plank pan gran ban bank van,an,1
span manly gang stance ran sank clank rank,an,1
clan plan prank hand than scan fancy rang,an,1
an glance trance grand blank man grant sang stand,an,1
fancy sank handy bland plan france band sang,an,1
grand ran dank span band prance prank scan,an,1
bank candy hang and plan ran fan prank can plant,an,1
fan stance bank dance van dandy tan plant,an,1
can span tankard plan dank plant gang blank,an,2
random canvas dance grand land candle man grant van rank,an,2
ran bank sang rang and gran tantrum ransack expand,an,2
handy tank banquet prance fancy canopy plank an,an,2
handle pan fan chance trance advance hand fantasy fanfare,an,2
rampant clank sandy granite ban banjo antenna tan blanket,an,2
scan dandy bantam candy inland android band france lance organic,an,2
than brand sand manly manga balance enhance mantra bland,an,2
lantern clan abandon stand prank stance romance glance hang sank,an,2
candle grand antenna lantern handle chance can man bland tantrum,an,2
rampant grand landscape bandana abandon an plantain handshake advance candy,an,3
scan candle fantasy man than tank ran plank,an,3
fan fancy sang span bland rank glance standalone,an,3
band romance chance bank dandy sank handle dance,an,3
analysis banquet anguish manga tan tantrum dank cantankerous,an,3
enhance handy annex brand lantern gran announce panorama,an,3
canopy sand gang vandalize anthem prance sandy blandishment stand,an,3
bantam ban grant prank ransack understand another plan land,an,3
clank antenna random canvas mantra blanket france can,an,3
stance blank pan ancestor trance rang tankard analog,an,3
standoffish transplant sand and fanfare rampant ancestor advance canvas,an,4
dance bandwidth ransack clan plank grant man ransomware candy,an,4
prank can plant sank angular chance fan banjo scandalous,an,4
tankard vandalize abandon landmark tank organic dank fantasy,an,4
mantra handwriting manhattan landscape manga balance prance enhance bandana standalone,an,4
grand blank plantain grandmother bank handy pan annex granite,an,4
van understanding wanderlust grandfather manipulation bland antagonistic advancement romance manly,an,4
