sentence,target_bigram,difficulty
the thin cat sat on the mat,th,0
this path has the moth on it,th,0
that cloth has both the moths,th,0
the bath with the thick cloth,th,0
both the teeth and the cloth,th,0
the moth sat on that thick path,th,0
this math has three then that,th,0
the cloth bath has both teeth,th,0
that path the thin moth took,th,0
the thick bath mat has moths,th,0
both teeth and that thin cloth,th,0
that thick cloth has the math,th,0
the moth on the thin bath mat,th,0
this path then that thick cloth,th,0
both the math and the teeth,th,0
that thin moth on this path,th,0
the thick cloth on that bath,th,0
both teeth on the thick cloth,th,0
the thin bath has that moth,th,0
this thick math cloth and teeth,th,0
the other thinks that the weather is worth the effort,th,1
they think the truth is worth sharing with the others,th,1
the health of the earth matters to those who think,th,1
thunder and lightning thrilled the three children together,th,1
the athlete thinks the north path leads through the forest,th,1
they threw the cloth over the three thick wooden beams,th,1
the author thinks that the weather threatens the earth,th,1
thunder thrilled the three athletes on the northern path,th,1
the mother thinks that her children thrive in the south,th,1
gather the thick cloth and throw it over the shelf,th,1
the truth is that the earth breathes through its rhythm,th,1
they gathered together under the thick branches of the tree,th,1
the three athletes threw the cloth over their shoulders together,th,1
that thunder threatened the northern path through the thick forest,th,1
the author thinks the other three chapters are worth reading,th,1
gather the thick leather cloth and put it on the shelf,th,1
the mother threw the cloth over three thick wooden chairs,th,1
the earth breathes through its rhythm and the weather shifts,th,1
thunder in the north threw the three athletes off their path,th,1
they think the truth is that the earth needs their help,th,1
the weather throughout the month threatens the health of the northern athletes,th,2
they gathered together beneath the thick branches to think through the problem,th,2
the author believes that the truth is worth more than anything else,th,2
thunder and lightning threatened the three athletes on their path through the forest,th,2
the mother thought that her children thrived best when they worked together,th,2
gathering the thick leather cloth they threw it over the three shelves,th,2
the athlete thinks the northern path through the forest is worth the effort,th,2
they threw themselves into the task and finished it with enthusiasm together,th,2
the earth breathes through its rhythm and the weather changes throughout the year,th,2
thunder threatened the northern path and the three athletes thought about their health,th,2
the author threw herself into the research and the truth began to emerge,th,2
they think that working together through difficult problems strengthens the path forward,th,2
the thick leather cloth was thrown over the three wooden beams in the north,th,2
gathering their thoughts the three athletes pushed through the final stretch together,th,2
the mother thinks that health and warmth throughout the winter months matter most,th,2
thunder throughout the northern mountains threatened the path the three climbers had chosen,th,2
the weather this month has been worth monitoring as the earth shifts beneath,th,2
they threw themselves wholeheartedly into the project and thought through every detail together,th,2
the author thinks the truth about health is that rhythm and breath matter,th,2
gathering beneath the thick canopy they thought through the path that lay ahead,th,2
the thunderstorm throughout the northern highlands threatened the health of the thin atmosphere above,th,3
they thoroughly thought through the mathematical theorem and gathered their hypotheses together with enthusiasm,th,3
the author thinks that authentic growth throughout the months strengthens the ethical foundation of society,th,3
thunder throughout the northern weather patterns threatened the thermal stability of the thin atmosphere,th,3
the mother thought that nurturing the health of her children through thoughtful methods was worthwhile,th,3
gathering their thoughts they threw themselves wholeheartedly into the theoretical framework of the mathematics,th,3
the athlete thinks that thorough preparation throughout the months builds the strength and rhythm needed,th,3
they threw themselves into the task of thinking through the ethical theory with thoroughness,th,3
the earth breathes through rhythmic patterns and the thermal weather shifts throughout each month,th,3
thunder throughout the northern mountains threatened the thermal paths and the three climbers thought carefully,th,3
the author threw herself into the research and thought through the ethical threads thoroughly,th,3
they think that authentic enthusiasm throughout the months of practice strengthens the path toward mastery,th,3
the thick thermal cloth was thrown over the three northern beams to withstand the weather,th,3
gathering their theoretical thoughts the three athletes pushed through the final stretch with authenticity,th,3
the mother thinks that the rhythm of health throughout the months is worth monitoring thoughtfully,th,3
thunder throughout the northern atmosphere threatened the thermal paths the three researchers thought were stable,th,3
the weather throughout the month has been worth analyzing as the earth shifts in rhythm,th,3
they threw themselves wholeheartedly into the theoretical project and thought through every authentic detail together,th,3
the author thinks the truth about thermal health is that rhythm and authentic breathing matter,th,3
gathering beneath the thick theoretical canopy they thought through the northern path with thoroughness,th,3
the thermodynamic principles underlying the mathematical theorems were thoroughly examined by the three researchers throughout,th,4
they enthusiastically thought through the theoretical implications of the atmospheric thermal shifts throughout the northern hemisphere,th,4
the author thinks that authentic intellectual growth throughout the months strengthens the ethical and theoretical foundation,th,4
thunderstorms throughout the northern highlands threatened the thermal stability of the thin atmospheric layer above,th,4
the mathematician thought that nurturing thorough reasoning throughout the theoretical framework was worth the methodical effort,th,4
gathering their theoretical thoughts they threw themselves into the authentic intellectual thread with thoroughness and enthusiasm,th,4
the athlete thinks that thorough preparation throughout the months of rhythmic practice builds thermal endurance,th,4
they threw themselves into the task of thinking through the ethical theorem with thoroughness and depth,th,4
the earth breathes through rhythmic thermal patterns and the atmospheric weather shifts throughout each northern month,th,4
thunderstorms throughout the northern mountains threatened the thermal paths the three theoretical researchers thought were stable,th,4
the author threw herself into the research and thought through the authentic ethical threads with thoroughness,th,4
they think that authentic enthusiasm throughout the theoretical months of methodical practice strengthens the path to mastery,th,4
the thick thermal cloth was thoroughly thrown over the three northern theoretical beams to withstand the atmospheric weather,th,4
gathering their authentic theoretical thoughts the three mathematicians pushed through the final theorem with thoroughness,th,4
the mother thinks that the rhythm of thermal health throughout the northern months is worth monitoring,th,4
thunderstorms throughout the northern atmosphere threatened the thermal paths the three theoretical researchers thought were stable,th,4
the weather throughout the month has been worth analyzing as the earth shifts in its thermal rhythm,th,4
they threw themselves wholeheartedly into the theoretical project and thought through every authentic thermal detail together,th,4
the author thinks the truth about thermal health is that rhythm and authentic breathing matter throughout,th,4
gathering beneath the thick theoretical canopy they thought through the northern thermal path with thoroughness,th,4
he hid the hen in the shed,he,0
she held the hen and he ran,he,0
he and she hid the red hen,he,0
the hen she held was his pet,he,0
he had the hen she hid,he,0
she held him and he ran then,he,0
he and the hen had a bed,he,0
she hid the hen he held,he,0
he ran and she held the hen,he,0
the hen he hid was in the shed,he,0
she held the hen he had run,he,0
he and she had the red hen,he,0
the hen she held ran to him,he,0
he hid and she held the hen,he,0
she held him the hen he hid,he,0
he ran then held the hen here,he,0
the hen he had she hid then,he,0
she held the hen and he had,he,0
he and the red hen she held,he,0
the hen hid here he held her,he,0
she helped him when he needed her most,he,1
he thought the shelter helped her feel safe,he,1
when she held the wheel he helped her,he,1
he helped her when the shelter was there,he,1
she held the letter and he helped her,he,1
when he helped her the shelter felt warm,he,1
he held the wheel and she helped him,he,1
the shelter helped her when he was here,he,1
she helped when he held the letter there,he,1
he held the shelf and she helped him,he,1
when she helped him he held the wheel,he,1
he helped her when the shelter felt cold,he,1
the letter she held helped him feel better,he,1
